Name	Accessions	Description	References
Tn1401	NA	Tn1401 is a 15.9 kb transposon, which is related to Tn21 and found on plasmid pMG217 from Salmonella typhimurium. It contains mer, sul, aadA and bla (PSE- 1) genes, conferring resistance to mercury, sulphonamide, streptomycin and ampicillin, respectively.	Levesque, RC. and G. A. Jacoby (1988). Molecular structure and interrelationships of multiresistance beta-lactamase transposons. Plasmid 19(1): 21-29. doi: 10.1016/0147-619X(88)90059-5 Medeiros AA, et al. (1982). Spread of a “Pseudomonas-specific” beta-lactamase to plasmids of enterobacteria. Journal of Bacteriology, 149(2), 700–707. PMID: 6276367
Tn1402	NA	Tn1402 is related to Tn21, found on plasmid pMG209. It is similar to Tn1401, which contains mer, sul, aadA and bla (PSE- 1) genes, conferring resistance to mercury, sulphonamide, streptomycin and ampicillin, respectively.	Medeiros AA, et al. (1982). Spread of a “Pseudomonas-specific” beta-lactamase to plasmids of enterobacteria. Journal of Bacteriology, 149(2), 700–707. PMID: 6276367
Tn1403	AF313472	Tn1403 is a 19.6 kb transposon from a clinical Pseudomonas strain. It is composed of the transposon backbone (tnpA and tnpR), a class I integron In28 (6.27 kb), and a Tn5393c (Tn5393 without insertion sequence). Three resistance genes (blaP1-cmlA1-aadA1) are located as gene cassettes within In28. Streptomycin resistance genes (strA and strB) are located in Tn5393c.	Stokes HW, et al. (2007). Tn1403, a Multiple-Antibiotic Resistance Transposon Made Up of Three Distinct Transposons. Antimicrobial Agents and Chemotherapy, 51(5), 1827–1829. doi: 10.1128/AAC.01279-06
Tn1404	AH008062	Tn1404 is isolated from Pseudomonas sp. isolate R9 with a size of 19-kb. It composes of the transposon backbone (tnpA and tnpR), an integron, and a IS26-composite transposon. Its integron contains a single aadA2 cassette and sul1 gene, conferring streptomycin and sulfonamide resistance. Tetracycline resistance genes (tetC and tetR) are located in the composite transposon.	Schnabel, E. L., & Jones, A. L. (1999). Distribution of Tetracycline Resistance Genes and Transposons among Phylloplane Bacteria in Michigan Apple Orchards. Applied and Environmental Microbiology, 65(11), 4898–4907. PMID: 10543801
Tn1405	NA	Tn1405 is a 8 kb transposon, isolated from the chromosome of Pseudomonas aeruginosa Dalgleish. It carries sul1, aadA and blaP1 genes.	Partridge SR, et al. (2002). Characterization and Movement of the Class 1 Integron Known as Tn2521 and Tn1405. Antimicrobial Agents and Chemotherapy, 46(5), 1288–1294. doi: 10.1128/AAC.46.5.1288-1294.2002
Tn1523	NA	Tn1523 is a 10.8 kb transposon carrying a tetracycline resistance determinant. Tn1523 is very similar to Tn1721 and Tn1771.	Briaux-Gerbaud, S., Gerbaud, G., & Jaffé-Brachet, A. (1981). Transposition of a tetracycline-resistance determinant (Tn1523) and cointegration events mediated by the pIP231 plasmid in Escherichia coli. Gene, 15(2), 139-149. PMID:6271638
Tn1525	NA	Tn1525 is a 4.44 kb transposon that confers resistance to kanamycin via an aminoglycoside phosphotransferase (aph) gene. It was originally detected on plasmid pIP112 (IncI1) of Salmonella panama.	Labigne-Roussel, A., Briaux-Gerbaud, S., & Courvalin, P. (1983). Tn1525, a kanamycin R determinant flanked by two direct copies of IS15. Molecular and General Genetics MGG, 189(1), 90-101. PMID: 6304464
Tn1527	NA	Tn1527 is a 14 kb transposon closely related to Tn7. It carries a dihydrofolate reductase gene that confers resistance to trimethoprim and a adenyltransferase gene responsible for streptomycin-spectinomycin resistance.	Goldstein, F., Gerbaud, G., & Courvalin, P. (1986). Transposable resistance to trimethoprim and 0/129 in Vibrio cholerae. Journal of Antimicrobial Chemotherapy, 17(5), 559-569.  DOI: 10.1093/jac/17.5.559
Tn1528	NA	Tn1528 is 5.2 kb transposon carrying an aph(3')-VIa gene that confers resistance to amikacin.	Lambert, T., Gerbaud, G., & Courvalin, P. (1994). Characterization of transposon Tn1528, which confers amikacin resistance by synthesis of aminoglycoside 3'-O-phosphotransferase type VI. Antimicrobial agents and chemotherapy, 38(4), 702-706. PMCID: PMC284528
Tn1545	NA	Tn1545 is a 25.3 kb conjugative transposon related to Tn916 and was originally detected in the chromosome of Streptococcus pneumoniae BM4200,  The Tn1545 encodes resistance to kanamycin via aphA-3, to macrolide-lincosamide-streptogramin B-type (MLS) antibiotics via ermAM, and to tetracycline via tet(M). The Tn1545 and Tn916 together comprise a large family of related conjugative transposons known as the Tn916/Tn1545 family.	Courvalin, P., & Carlier, C. (1986). Transposable multiple antibiotic resistance in Streptococcus pneumoniae. Molecular and General Genetics MGG, 205(2), 291-297. DOI: 10.1007/BF00430441 Courvalin, P., & Carlier, C. (1987). Tn1545: a conjugative shuttle transposon.Molecular and General Genetics MGG, 206(2), 259-264. DOI: 10.1007/BF00333582
Tn1546	M97297	Tn1546 is a 10.8 kb transposon related to Tn3 and was originally detected on pIP816 of Enterococcus faecium BM4147. It carries a vanA operon responsible for resistance to glycopeptides. Several genetic variations, including the presence of insertion sequences or deletions in nonessential genes and/or intergenic regions, have been reported in Tn1546.	Arthur, M. I. C. H. E. L., Molinas, C., Depardieu, F., & Courvalin, P. (1993). Characterization of Tn1546, a Tn3-related transposon conferring glycopeptide resistance by synthesis of depsipeptide peptidoglycan precursors in Enterococcus faecium BM4147. Journal of Bacteriology, 175(1), 117-127. DOI: 10.1128/jb.175.1.117-127.1993
Tn1547	NA	Tn1547 is a 64 kb composite transposon harbouring a vanB gene cluster which was originally identified on the chromosome of Enterococcus faecalis BM4281. Tn1547 is demarked  by two distantly related insertion sequences (IS), designated as IS256 (1324 bp) and IS16 (1466 bp). This transposon was shown to translocate from the chromosome of Enterococcus faecalis BM4281 to hemolysin plasmid, pIP964.	Quintiliani, R., & Courvalin, P. (1996). Characterization of Tn1547, a composite transposon flanked by the IS16 and IS256-like elements, that confers vancomycin resistance in Enterococcus faecalis BM4281. Gene,172(1), 1-8. DOI: 10.1016/0378-1119(96)00110-2
Tn1548	NA	Tn1548 is a 16.6 kb composite transposon which confers resistance fortimicin, streptomycin-spectinomycin, sulfonamides, and trimethoprim via armA, ant3"9, sul1, and dfrXII genes. It was found to be located on plasmid, pIP1204. The Tn1548 is flanked by two copies of IS6 in direct orientation.	Galimand, M., Sabtcheva, S., Courvalin, P., & Lambert, T. (2005). Worldwide disseminated armA aminoglycoside resistance methylase gene is borne by composite transposon Tn1548. Antimicrobial Agents and Chemotherapy,49(7), 2949-2953. DOI: 10.1128/AAC.49.7.2949-2953.2005
Tn1549	AF192329	Tn1549 is a 34 kb conjugative transposon harbouring a vanB operon. Tn 1549 is highly similar to Tn5382 and together they are called Tn1549-like transposons. Tn1549 contains 30 ORFs which are generally organized like the Tn916 family of conjugative transposons in which the vanB2 operon replaces the tet(M) gene.	Garnier, F., Taourit, S., Glaser, P., Courvalin, P., & Galimand, M. (2000). Characterization of transposon Tn1549, conferring VanB-type resistance in Enterococcus spp. Microbiology, 146(6), 1481-1489. doi: 10.1099/00221287-146-6-1481 Launay, A., Ballard, S. A., Johnson, P. D., Grayson, M. L., & Lambert, T. (2006). Transfer of vancomycin resistance transposon Tn1549 from Clostridium symbiosum to Enterococcus spp. in the gut of gnotobiotic mice.Antimicrobial agents and chemotherapy, 50(3), 1054-1062. doi: 10.1128/AAC.50.3.1054-1062.2006
Tn1681	L36547	Tn1681 is a composite transposon identified from enterotoxigenic Escherichia coli strains. It carries gene encoding for heat-stable toxin (ST I), which is flanked by inverted repeats of IS1.	So, M., & McCarthy, B. J. (1980). Nucleotide sequence of the bacterial transposon Tn1681 encoding a heat-stable (ST) toxin and its identification in enterotoxigenic Escherichia coli strains. Proceedings of the National Academy of Sciences of the United States of America, 77(7), 4011–4015. PMID: 6254008
Tn1696	U12338	Tn1696 is a 13.6 kb transposon, found on plasmid R1036 from Pseudomonas aeruginosa strain. It carries a class 1 integron In4 (8.33kb), which contains four gene cassettes (aacC1, orfE, aadA2, and cmlA1) and sul1 gene. The In4 integron located within the res region of the transposon backbone. Mercury resistance gene can also be found on the transposon backbone.	Partridge, S. R., Brown, H. J., Stokes, H. W., & Hall, R. M. (2001). Transposons Tn1696 and Tn21 and Their Integrons In4 and  In2 Have Independent Origins. Antimicrobial Agents and Chemotherapy, 45(4), 1263–1270. DOI: 10.1128/AAC.45.4.1263-1270.2001
Tn1699	NA	Tn1699 is a 9.3 kb transposon found on plasmid pCER7999, isolated from Klebsiella pneumoniae, which contains bla-TEM1 and aac(3) genes.	Rubens, C. E., McNeill, W. F., & Farrar, W. E. (1979). Evolution of multiple-antibiotic-resistance plasmids mediated by transposable plasmid deoxyribonucleic acid sequences. Journal of Bacteriology, 140(2), 713–719. PMID: 387747
Tn1700	NA	Tn1700 is a 12 kb transposon found on plasmid pCER1065, isolated from Serratia marcescens, which contains bla-TEM1 and aad(2") genes.	Rubens, C. E., McNeill, W. F., & Farrar, W. E. (1979). Evolution of multiple-antibiotic-resistance plasmids mediated by transposable plasmid deoxyribonucleic acid sequences. Journal of Bacteriology, 140(2), 713–719. PMID: 387747
Tn1701	NA	Tn1701 is recovered from Salmonella typhimurium located on a plasmid NTP1. It contain a blaTEM-1 gene, conferring ampicillin resistance.	Yamada Y, et al. (1979). Location of an ampicillin resistance transposon, Tn1701, in a group of small, nontransferring plasmids. Journal of Bacteriology, 137(2), 990–999. PMID: 370108
Tn1720	NA	Tn1720 is a 9.3-kb variant of transposon Tn1721 (lacking orfI of Tn1721). It confers tetracycline resistance by carrying tetA gene.	Schnabel, E. L., & Jones, A. L. (1999). Distribution of Tetracycline Resistance Genes and Transposons among Phylloplane Bacteria in Michigan Apple Orchards. Applied and Environmental Microbiology, 65(11), 4898–4907. PMID: 10543801
Tn1721	X61367	Tn1721 is a 11.1 kb transposon, carrying a minitransposon Tn1722, tnpA, tccA, partial tetR and tetA genes.	Rhodes G, et al. (2000). Distribution of Oxytetracycline Resistance Plasmids between Aeromonads in Hospital and Aquaculture Environments: Implication of Tn1721in Dissemination of the  Tetracycline Resistance Determinant Tet A. Applied and Environmental Microbiology, 66(9), 3883–3890. DOI: 10.1128/AEM.66.9.3883-3890.2000
Tn1722	NA	Tn1722 is a 5.5 kb minitransposon, which can be found as a part of Tn1721. It carries orfI, res, tnpR and tnpA genes.	Rhodes G, et al. (2000). Distribution of Oxytetracycline Resistance Plasmids between Aeromonads in Hospital and Aquaculture Environments: Implication of Tn1721in Dissemination of the  Tetracycline Resistance Determinant Tet A. Applied and Environmental Microbiology, 66(9), 3883–3890. DOI: 10.1128/AEM.66.9.3883-3890.2000
Tn1723	NA	Tn1723 is a derivative of Tn3-like transposon Tn1722 with the insertion of a kanamycin resistance gene (3.9 kb).	Cross, M. A., et al. (1986). Analysis of the vegetative replication origin of broad-host-range plasmid RK2 by transposon mutagenesis. Plasmid 15(2): 132-146. DOI: 10.1016/0147-619X(86)90049-1
Tn1725	NA	Tn1725 is an 8.3 kb derivative of Tn1721, containing a chloramphenicol resistance gene.	Cram, H. K., et al. (1984). F plasmid pif region: Tn1725 mutagenesis and polypeptide analysis. Gene 32(1-2): 251-254. DOI: 10.1016/0378-1119(84)90053-2 Altenbuchner, J., Schmid, K., & Schmitt, R. (1983). Tn1721-encoded tetracycline resistance: mapping of structural and regulatory genes mediating resistance. Journal of Bacteriology, 153(1), 116–123. PMID: 6294046
Tn1732	NA	Tn1732 is a Tn3-family transposon, containing kanamycin resistance gene.	Canovas, D., et al. (1997). Isolation and characterization of salt-sensitive mutants of the moderate halophile Halomonas elongata and cloning of the ectoine synthesis genes." J Biol Chem 272(41): 25794-25801. DOI: 10.1074/jbc.272.41.25794 Jörg Kunte, H. and E. A. Galinski (1995). Transposon mutagenesis in halophilic eubacteria: conjugal transfer and insertion of transposon Tn5 and Tn1732 in Halomonas elongata. FEMS Microbiology Letters 128(3): 293-299. DOI: 10.1111/j.1574-6968.1995.tb07539.x
Tn1755	NA	Tn1755 is derived from plasmid RP4::Tn1. It contains two inverted Tn1 elements (carrying ampicillin resistance gene), flanking a DNA fragment (including kanamycin resistance gene).	Dobritsa, A. P., et al. (1981). Transposition of a DNA fragment flanked by two inverted Tn1 sequences. Gene 14(3): 217-225. DOI: 10.1016/0378-1119(81)90117-7
Tn1756	NA	Tn1755 is derived from plasmid RP4::Tn1, which also contains Tn1755. It contains two inverted Tn1 elements (carrying ampicillin resistance gene), flanking a DNA fragment (including tetracycline resistance gene).	Dobritsa, A. P., et al. (1983). Transposition of DNA fragments flanked by two inverted Tn1 sequences: translocation of the plasmid RP4::Tn1 region harboring the Tcr marker. Gene 22(2-3): 237-243. DOI: 10.1016/0378-1119(83)90108-7
Tn1771	NA	Tn1771 is identified from Escherichia coli UR12644 with a molecular weight of 7.1 Mdal, which can confer tetracycline resistance.	Schoffl, F. and A. Puhler (1979). "Intramolecular amplification of the tetracycline resistance determinant of transposon Tn1771 in Escherichia coli." Genet Res 33(3): 253-260. DOI:10.1017/S0016672300018395
Tn1792	AJ006518	Tn1792 is a minitransposon based on IS6100, constructed for transposon mutagenesis of the Streptomyces genome. It contains aac(3)-Ia gene, conferring gentamycin resistance, for selection.	Herron, P. R., et al. (1999). Low target site specificity of an IS6100-based mini-transposon, Tn1792, developed for transposon mutagenesis of antibiotic-producing Streptomyces. FEMS Microbiol Lett 171(2): 215-221. DOI: 10.1111/j.1574-6968.1999.tb13435.x
Tn1806	CP002121	Tn1806 is a 52.4 kb transposon comprising 49 ORFs. It carries an erm(TR) gene that confers resistance to erythromycin and was originally identified in the chromosome of Streptococcus pneumoniae. Tn1806 shows an overall similarity with the erm(TR)-carrying genetic element described in Streptococcus pyogenes MGAS10750, named ICE10750 RD-2.	Camilli, R., Del Grosso, M., Iannelli, F., & Pantosti, A. (2008). New genetic element carrying the erythromycin resistance determinant erm (TR) in Streptococcus pneumoniae. Antimicrobial agents and chemotherapy, 52(2), 619-625. DOI: 10.1128/AAC.01081-07 Camilli, R., Bonnal, R. J., Del Grosso, M., Iacono, M., Corti, G., Rizzi, E., ... & Oggioni, M. R. (2011). Complete genome sequence of a serotype 11A, ST62 Streptococcus pneumoniae invasive isolate. BMC microbiology, 11(1), 25. DOI: 10.1186/1471-2180-11-25
Tn1822	NA	Tn1822 is a tetracylcine resistant transposon which is very similar to Tn1771 and Tn1721.	Tietze, E., Prager, R., & Tschäpe, H. (1982). Characterization of the transposons Tn1822 (Tc) and Tn1824 (TpSm) and the light they throw on the natural spread of resistance genes. Plasmid, 8(3), 253-260. DOI: 10.1016/0147-619X(82)90063-4
Tn1824	NA	Tn1824 is a trimethoprim-streptomycin resistant transposon which is very similar to Tn7.	Tietze, E., Prager, R., & Tschäpe, H. (1982). Characterization of the transposons Tn1822 (Tc) and Tn1824 (TpSm) and the light they throw on the natural spread of resistance genes. Plasmid, 8(3), 253-260. DOI:10.1016/0147-619X(82)90063-4
Tn1825	NA	Tn1825 is a 13.2 kb transposon related to Tn7-family transposons carrying a streptothricin resistance determinant. Tn1825 also codes for a low level streptomycin/spectinomycin resistance due to the aminoglycoside adenylyltransferase, aad(3”) gene.	Tietze, E., Brevet, J., & Tschäpe, H. (1987). Relationships among the streptothricin resistance transposons Tn1825 and Tn1826 and the trimethoprim resistance transposon Tn7. Plasmid, 18(3), 246-249. DOI: 10.1016/0147-619X(87)90067-9 Tschäpe, H., Tietze, E., Prager, R., Voigt, W., Wolter, E., & Seltmann, G. (1984). Plasmid-borne streptothricin resistance in gram-negative bacteria.Plasmid, 12(3), 189-196. DOI: 10.1016/0147-619X(84)90043-X
Tn1826	NA	Tn1826 is very similar to Tn1825 which carries a streptothricin resistance determinant.	Tietze, E., Brevet, J., & Tschäpe, H. (1987). Relationships among the streptothricin resistance transposons Tn1825 and Tn1826 and the trimethoprim resistance transposon Tn7. Plasmid, 18(3), 246-249. DOI: 10.1016/0147-619X(87)90067-9
Tn1831	NA	Tn1831 encodes resistance to streptomycin, spectinomycin as well as mercury.	Hooykaas, P. J. J., den Dulk-Ras, H., & Schilperoort, R. A. (1980). Molecular mechanism of Ti plasmid mobilization by R plasmids: isolation of Ti plasmids with transposon-insertions in Agrobacterium tumefaciens.Plasmid, 4(1), 64-75. DOI:0.1016/0147-619X(80)90083-9
Tn1935	NA	Tn1935 is a 23.5 kb transposon, which is isolated from pZM3 plasmid from Salmonella wien. It composes of an entire Tn21 (19.7 kb: spectinomycin, sulfonamide and mercury resistance genes) with an insertion of ampicillin resistance gene (0.95 kb) and another fragment, which contains direct repeats of IS1936, flanking kanamycin resistance gene.	Colonna, B., et al. (1988). The Salmonella wien virulence plasmid pZM3 carries Tn1935, a multiresistance transposon containing a composite IS1936-kanamycin resistance element. Plasmid 20(3): 221-231. DOI: 10.1016/0147-619X(88)90028-5
Tn1999	AY236073	Tn1999 is a composite transposon carrying two IS1999 elements flanking blaOXA-48 and transcriptional regulator lysR genes.	Aubert D, et al. (2006). Functional Characterization of IS1999, an IS4 Family Element Involved in Mobilization and Expression of β-Lactam Resistance Genes. Journal of Bacteriology, 188(18), 6506–6514. DOI: 10.1128/JB.00375-06
Tn2000	AF205943	Tn2000 is a composite transposon, which contains inverted repeats of IS26 elements, flanking a truncated class 1 integron In53. The In53 integron carries eight resistance genes, which are sul1, blaVEB-1, aadB, arr-2, cmlA, qac, aacA1b, oxa10 and aadA1.	Naas T, et al. (2001). Characterization of In53, a Class 1 Plasmid- and Composite Transposon-Located Integron of Escherichia coli Which  Carries an Unusual Array of Gene Cassettes. Journal of Bacteriology, 183(1), 235–249. DOI: 10.1128/JB.183.1.235-249.2001
Tn2001	NA	Tn2001 is isolated from plasmid Rms159-1 in Pseudomonas aeruginosa. It carries gene conferring chloramphenicol resistance.	Iyobe, S., Sagai, H., & Mitsuhashi, S. (1981). Tn2001, a transposon encoding chloramphenicol resistance in Pseudomonas aeruginosa. Journal of Bacteriology, 146(1), 141–148. PMID: 6260739
Tn2003	AY532647	Tn2003 is a 9.5-kb composite transposon. It has direct repeats of IS26 elements, flanking blaSHV-5.	Preston, K. E., et al. (2014). "The complete nucleotide sequence of the multi-drug resistance-encoding IncL/M plasmid pACM1." Plasmid 76: 54-65. DOI: 10.1016/j.plasmid.2014.08.005
Tn2006	EF127491	Tn2006 is an ISAba1-based composite transposon with a size of 4.8 kb. Inverted repeats of ISAba-1 elements  flank a blaOXA-23 gene.	Corvec S, et al. (2007). Genetics and Expression of the Carbapenem-Hydrolyzing Oxacillinase Gene blaOXA-23in Acinetobacter baumannii . Antimicrobial Agents and Chemotherapy, 51(4), 1530–1533. DOI: 10.1128/AAC.01132-06
Tn2007	EF059914	Tn2007 is a 2.5-kb transposon, which includes blaOXA-23 and ISAba4 element.	Corvec S, et al. (2007). Genetics and Expression of the Carbapenem-Hydrolyzing Oxacillinase Gene blaOXA-23in Acinetobacter baumannii . Antimicrobial Agents and Chemotherapy, 51(4), 1530–1533. DOI: 10.1128/AAC.01132-06
Tn2008	GQ861438	Tn2008 is similar to a composite transposon Tn2006. It contains blaOXA-23 gene with only one copy of ISAba1 element (while Tn2006 carried two ISAba1 elements).	Nigro, S. and R. M. Hall (2015). Distribution of the blaOXA-23-containing transposons Tn2006 and Tn2008 in Australian carbapenem-resistant Acinetobacter baumannii isolates. J Antimicrob Chemother 70(8): 2409-2411. DOI: 10.1093/jac/dkv102
Tn2009	AF376746	Tn2009 is a Tn916-like element with an insertion of mef(E)-carrying element mega (macrolide efflux genetic assembly; 5,511 bp) at orf6 of Tn916. By carrying tet(M) and mef(E) genes, it confers tetracycline and erythromycin resistances, respectively.	Liu LL, et al. (2015). Dissemination of blaOXA-23 in Acinetobacter spp. in China: Main Roles of Conjugative Plasmid pAZJ221 and Transposon Tn2009. Antimicrobial Agents and Chemotherapy, 59(4), 1998–2005. DOI: 10.1128/AAC.04574-14
Tn2010	AB426620	Tn2010 is a  26.4-kb Tn916-like element with an insertion of mef(E)-carrying element mega (macrolide efflux genetic assembly (in ORF6 like in Tn2009) and erm(B) gene (in the ORF20).	Li, Y., et al. (2011). "Molecular characterization of erm(B)- and mef(E)-mediated erythromycin-resistant Streptococcus pneumoniae in China and complete DNA sequence of Tn2010." J Appl Microbiol 110(1): 254-265. DOI: 10.1111/j.1365-2672.2010.04875.x
Tn2011	NA	Tn2011 is designated to transposon on plasmid RMs213, conferring ampicillin, streptomycin sulfonamide and mercury resistance. Its ampicillin resistance is conferred by blaOXA-1 gene.	Nakazawa, H., & Mitsuhashi, S. (1983). Tn2011, a new transposon encoding oxacillin-hydrolyzing beta-lactamase. Antimicrobial Agents and Chemotherapy, 23(3), 407–412. DOI: 10.1128/AAC.23.3.407
Tn2012	EU523120	Tn2012 is a 2.7-kb transposon, identified on the pR4525 natural plasmid in Escherichia coli R4525, which contains ISRcp1C and qnrB19 gene. It was inserted into orf1 gene of Tn1721.	Cattoir V, et al. (2008). ISEcp1-Mediated Transposition of qnrB-Like Gene in Escherichia coli . Antimicrobial Agents and Chemotherapy, 52(8), 2929–2932.  DOI: 10.1128/AAC.00349-08
Tn2016	JQ809466	Tn2016 is a 4.4-kb transposon, isolated from a Klebsiella pneumoniae clinical isolate. It contains ISkpn15 and blaOXA-204 gene. ISEcp1 is also found as a part of Tn2016, but was disrupted by ISkpn15.	Potron A, et al. (2013). Characterization of OXA-204, a Carbapenem-Hydrolyzing Class D β-Lactamase from Klebsiella pneumoniae. Antimicrobial Agents and Chemotherapy, 57(1), 633–636. DOI: 10.1128/AAC.01034-12
Tn2017	FJ208941	Tn2017 is a 28.5 composite transposon, identified in Streptococcus pneumoniae. It is a Tn916-like element with an insertion of Tn917 in orf9 and mega element (macrolide efflux genetic assembly) in orf6.	Del Grosso M, et al. (2009). New Composite Genetic Element of the Tn916 Family with Dual Macrolide Resistance Genes in a Streptococcus pneumoniae Isolate Belonging to Clonal Complex 271 . Antimicrobial Agents and Chemotherapy, 53(3), 1293–1294. DOI: 10.1128/AAC.01066-08
Tn2020	AF118548	Tn2020 is a 4.1-kb transposon bound by IS2020 and a truncated IS2020. It contains two ORFs, which both encode for hypothetical proteins (one is similar to transmembrane transporter protein).	Halling, S. M. and R. L. Zuerner (2002). "Evidence for lateral transfer to Brucellae: characterization of a locus with a Tn-like element (Tn2020)." Biochim Biophys Acta 1574(1): 109-116. DOI: 10.1016/S0167-4781(01)00352-9
Tn2101	NA	Tn2101 is found on plasmid Rms433 in Enterobacter cloacae. It carries genes conferring carbenicillin, streptomycin, sulphanilamide, spectinomycin, mercury resistance.	Katsu, K., Inoue, M., & Mitsuhashi, S. (1982). Transposition of the carbenicillin-hydrolyzing beta-lactamase gene. Journal of Bacteriology, 150(2), 483–489. PMID: 6279559
Tn2301	NA	Tn2301 is a 44.5 kb transposon which carries an ampicillin resistance determinant.	Johnson, D. A., & Willetts, N. S. (1980). Tn2301, a transposon construct carrying the entire transfer region of the F plasmid. Journal of Bacteriology,143(3), 1171-1178. PMCID: PMC294470
Tn2350	NA	Tn2350 is a 10.4 kb transposon which confers resistance to kanamycin. It is flanked by two directly repeated copies of IS1 element.	Clerget, M., Chandler, M., & Caro, L. (1980). Isolation of an IS1 flanked kanamycin resistance transposon from R1drd19. Molecular and General Genetics MGG, 180(1), 123-127. DOI: 10.1007/BF00267360
Tn2353	NA	Tn2353 is a 13.0 kb transposon which carries genes that confer resistance to mercury, spectinomycin and sulphonamide.	Dobritsa, A. P. (1984). IS8-and Tn2353-mediated cointegration of the plasmids R15 and RP4:: Tn1. Molecular and General Genetics MGG, 194(1), 206-210. DOI: 10.1007%2FBF00383518?LI=true
Tn2354	NA	Tn2354 is a 7.8 kb transposon detected on plasmid R15. It was found to be located very close to Tn2353 within the same plasmid.	Dobritsa, A. P., Mikhailova, T. G., & Dubovaya, V. I. (1985). Physical and genetic structure of the IncN plasmid R15. Plasmid, 14(2), 99-105. DOI: 10.1016/0147-619X(85)90069-1
Tn2401	NA	Tn2401 is a 7.1 kb transposon that encodes an aminoglycoside 3′-phosphotransferase and an aminoglycoside 6′-N-acetyltransferase. It was detected in a clinical isolate of Pseudomonas aeruginosa. Tn2401 confers resistance to gentamicin, tobramycin, sisomicin, netilmycin, and dibekacin via aacA and to paromomycin, lividomycin, kanamycin, and neomycin via aph-(3’).	Schmidt, F., Kratz, J., & Wiedemann, B. (1983). Identification of Tn2401, a transposon encoding multiresistance to aminoglycosides.Microbiology, 129(5), 1527-1536. doi: 10.1099/00221287-129-5-1527
Tn2410	NA	Tn2410 is a 18.5 kb transposon which mediates resistance to ampicillin, sulfonamides, and mercury. It was detected in R-factor R1767 of Salmonella typhimurium.	Kratz, J., Schmidt, F., & Wiedemann, B. (1983). Characterization of Tn2411 and Tn2410, two transposons derived from R-plasmid R1767 and related to Tn2603 and Tn21. Journal of Bacteriology, 155(3), 1333-1342. PMCID: PMC217832
Tn2411	NA	Tn2411 is a 18.0 kb transposon which mediates resistance to streptomycin, sulfonamides, and mercury. Tn2411 was isolated from Salmonella typhimurium R-factor R1767.	Kratz, J., Schmidt, F., & Wiedemann, B. (1983). Characterization of Tn2411 and Tn2410, two transposons derived from R-plasmid R1767 and related to Tn2603 and Tn21. Journal of Bacteriology, 155(3), 1333-1342. PMCID: PMC217832
Tn2424	NA	Tn2424 is a 25 kb transposon isolated from IncFII plasmid NR79. It mediates resistance to sulfonamides, streptomycin-spectinomycin, mercuric chloride, chloramphenicol, and amikacin. Resistance to amikacin is mediated by a 6'-N-acetyltransferase.	Meyer, J. F., Nies, B. A., & Wiedemann, B. E. R. N. D. (1983). Amikacin resistance mediated by multiresistance transposon Tn2424. Journal of Bacteriology, 155(2), 755-760. PMCID: PMC217747
Tn2425	NA	Tn2425 belongs to Tn21-family transposon which was formed by transposition of IS161 into Tn21. It mediates resistance to streptomycin-spectinomycin, sulphonamide and mercury.	Meyer, J.F., Nies, B. A., Kratz, J., & Wiedemann, B. (1985). Evolution of Tn21-related transposons: isolation of Tn2425, which harbours IS161. Microbiology, 131(5), 1123-1130. DOI: 10.1099/00221287-131-5-1123
Tn2426	NA	Tn2426  is a typical member of the Tn21 family of class II transposons. It carries resistance genes for sulphonamide (sul1), streptomycin-spectinomycin (aadA), gentamicin (aadB), amikacin (aacA), chloramphenicol (cat) and mercury (mer).	Zühlsdorf, M. T., & Wiedemann, B. (1993). Functional and physiological characterization of the Tn21 cassette for resistance genes in Tn2426. Microbiology, 139(5), 995-1002. DOI: 10.1099/00221287-139-5-995 Wiedemann, B., Meyer, J. F., & Zühlsdorf, M. T. (1986). Insertions of resistance genes into Tn 21-like transposons. Journal of Antimicrobial Chemotherapy, 18(Supplement_C), 85-92. DOI:https://doi.org/10.1093/jac/18.Supplement_C.85
Tn2440	NA	Tn2440 is a 4.0 kb composite transposon which mediates resistance to tetracycline. The Tn2440 is flanked by direct repeats of the insertion sequence IS160.	Nies, B. A., Meyer, J. F., & Wiedemann, B. (1985). Tn2440, a composite tetracycline resistance transposon with direct repeated copies of IS160 at its flanks. Microbiology, 131(9), 2123-2127. DOI: 10.1099/00221287-131-9-2443
Tn2501	NA	Tn2501 is a 6.3-kb transposon that was originally found as part of Tn951. It contains transposase (tnpA) and resolvase (tnpR) genes.	Michiels, T., Cornelis, G., Ellis, K., & Grinsted, J. (1987). Tn2501, a component of the lactose transposon Tn951, is an example of a new category of class II transposable elements. Journal of Bacteriology, 169(2), 624–631. DOI: 10.1128/jb.169.2.624-631.1987
Tn2502	U58366	Tn2502 is a 4.6-kb transposon, found in Yersinia enterocolitica on plasmid pYVe439-80. It contains defective transposase and genes conferring arsenite and arsenate resistance (arsB, arsC, arsR, arsH).	Neyt, C., Iriarte, M., Thi, V. H., & Cornelis, G. R. (1997). Virulence and arsenic resistance in Yersiniae. Journal of Bacteriology, 179(3), 612–619. DOI: 10.1128/jb.179.3.612-619.1997
